cubeJuliaTimeStep, cubeRomeo.position.x, cubeRomeo.velocity.x,cubeRomeo.mass, cubeRomeoImpulse, cubeRomeoKinetic, cubeJulia.position.x, cubeJulia.velocity.x,cubeJulia.mass, cubeJuliaImpulse, velocityEnd, cubeKineticEnd, forceOnJulia 
1.02,-3.110001,1.999999,2,3.999998,3.999997,-10.66,0,2,0,0.9999996,1.999998,1.999999
1.04,-3.069201,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.06,-3.0284,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.08,-2.9876,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.1,-2.9468,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.12,-2.906,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.14,-2.8652,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.159999,-2.8244,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.179999,-2.7836,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.199999,-2.7428,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.219999,-2.702,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.239999,-2.6612,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.259999,-2.620399,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.279999,-2.579599,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.299999,-2.538799,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.319999,-2.497999,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.339999,-2.457199,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.359999,-2.416399,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.379999,-2.375599,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.399999,-2.334799,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.419999,-2.293999,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.439999,-2.253199,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.459999,-2.212399,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.479999,-2.171598,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.499999,-2.130798,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.519999,-2.089998,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.539999,-2.049198,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.559999,-2.008398,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.579999,-1.967598,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.599999,-1.926798,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.619999,-1.885998,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.639999,-1.845198,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.659999,-1.804398,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
