currentTimeStep, cubeRomeo.position.x, cubeRomeo.position.y,alphaRomeo,degree,horizonForceRomeo,verticalForceRomeo, -frictionForceRomeo.x + horizonForceRomeo, -frictionForceRomeo.y + verticalForceRomeo, -frictionForceRomeo.z + zAxisForceRomeo
48.62618,-19.91916,0.756852,-0.01587958,-0.9098332,-0.3115051,19.61506,-0.3115216,19.61506,6.57417E-11
48.63118,-19.91915,0.7568526,-0.01588181,-0.9099608,-0.3115488,19.61506,-0.3115586,19.61506,5.09477E-11
48.63618,-19.91914,0.7568532,-0.0158834,-0.9100521,-0.31158,19.61505,-0.3115848,19.61505,3.553315E-11
48.64119,-19.91913,0.7568536,-0.01588436,-0.9101068,-0.3115987,19.61505,-0.3116004,19.61505,2.068585E-11
48.64619,-19.91913,0.7568541,-0.01588468,-0.9101251,-0.311605,19.61505,-0.3116052,19.61505,5.394962E-12
48.65119,-19.91913,0.7568544,-0.01588436,-0.910107,-0.3115988,19.61505,-0.3115984,19.61505,9.870767E-12
48.65619,-19.91914,0.7568547,-0.01588341,-0.9100523,-0.3115801,19.61505,-0.3115777,19.61505,2.527351E-11
48.66119,-19.91915,0.756855,-0.01588182,-0.9099612,-0.3115489,19.61505,-0.3115429,19.61505,4.026316E-11
48.66619,-19.91916,0.7568551,-0.01587959,-0.9098336,-0.3115053,19.61506,-0.3114936,19.61506,5.574802E-11
48.67119,-19.91918,0.7568552,-0.01587673,-0.9096696,-0.3114492,19.61506,-0.3114304,19.61506,7.081377E-11
48.67619,-19.9192,0.7568552,-0.01587323,-0.909469,-0.3113806,19.61506,-0.3113527,19.61506,8.632031E-11
48.68119,-19.91922,0.7568552,-0.01586909,-0.909232,-0.3112995,19.61507,-0.3112611,19.61507,1.014488E-10
48.6862,-19.91925,0.7568551,-0.01586432,-0.9089586,-0.3112059,19.61507,-0.3111549,19.61507,1.169701E-10
48.6912,-19.91928,0.7568549,-0.01585891,-0.9086487,-0.3110999,19.61508,-0.3110349,19.61508,1.321564E-10
48.6962,-19.91932,0.7568547,-0.01585286,-0.9083022,-0.3109814,19.61509,-0.3109002,19.61509,1.476883E-10
48.7012,-19.91936,0.7568544,-0.01584618,-0.9079193,-0.3108504,19.6151,-0.3107519,19.6151,1.629285E-10
48.7062,-19.9194,0.756854,-0.01583886,-0.9075,-0.310707,19.61511,-0.3105888,19.61511,1.784673E-10
48.7112,-19.91945,0.7568536,-0.01583091,-0.9070442,-0.310551,19.61512,-0.3104121,19.61512,1.937577E-10
