currentTimeStep, cubeJulia.position.x, cubeJulia.position.y, alphaJulia, degree, horizonForceJulia, verticalForceJulia, -frictionForceJulia.x + horizonForceJulia, -frictionForceJulia.y + verticalForceJulia, -frictionForceJulia.z + zAxisForceJulia
68.08222,-21.59536,0.7538807,0.01404402,0.8046631,0.2755361,19.61817,0.2664691,19.61829,-1.779985E-09
68.09222,-21.59496,0.7538753,0.01397818,0.8008905,0.274245,19.61824,0.2650259,19.61836,-1.795521E-09
68.10221,-21.59457,0.7538699,0.01391201,0.7970996,0.2729477,19.61831,0.2635815,19.61843,-1.812624E-09
68.11221,-21.59417,0.7538645,0.01384521,0.7932722,0.2716379,19.61838,0.262118,19.61851,-1.827834E-09
68.1222,-21.59376,0.753859,0.01377778,0.7894084,0.2703157,19.61845,0.260642,19.61858,-1.843043E-09
68.13219,-21.59336,0.7538535,0.01371002,0.7855263,0.2689871,19.61852,0.2591598,19.61865,-1.858286E-09
68.14219,-21.59295,0.753848,0.01364163,0.7816079,0.2676462,19.61859,0.2576648,19.61872,-1.87345E-09
68.15218,-21.59253,0.7538425,0.0135726,0.7776529,0.2662927,19.61866,0.256157,19.6188,-1.888534E-09
68.16218,-21.59212,0.753837,0.01350326,0.7736799,0.264933,19.61873,0.2546428,19.61887,-1.903537E-09
68.17217,-21.5917,0.7538314,0.01343328,0.7696702,0.2635607,19.6188,0.2531158,19.61894,-1.91846E-09
68.18217,-21.59127,0.7538259,0.01336298,0.7656425,0.2621823,19.61888,0.2515824,19.61902,-1.9333E-09
68.19216,-21.59085,0.7538204,0.01329205,0.7615781,0.2607913,19.61895,0.2500362,19.61909,-1.948057E-09
68.20216,-21.59042,0.7538148,0.01322048,0.7574774,0.2593879,19.61902,0.2484775,19.61916,-1.96273E-09
68.21215,-21.58999,0.7538092,0.01314859,0.7533585,0.2579782,19.61909,0.2469124,19.61924,-1.977319E-09
68.22215,-21.58955,0.7538036,0.01307606,0.7492031,0.256556,19.61917,0.2453348,19.61931,-1.991823E-09
