currentTimeStep, cubeRomeo.position.x, cubeRomeo.velocity.x, springPotentialEnergy, cubeRomeoKinetic, springForceX
1.959999,6.053734,-1.326889,2.352556,1.760634,-3.608951
1.979999,6.026474,-1.362978,2.255207,1.85771,-3.533493
1.999999,5.998508,-1.398313,2.15747,1.95528,-3.456077
2.019999,5.969851,-1.432874,2.059564,2.053128,-3.376749
2.039999,5.940518,-1.466642,1.961706,2.151038,-3.295551
2.059999,5.910526,-1.499597,1.864111,2.248792,-3.212528
2.079999,5.879891,-1.531722,1.766996,2.346174,-3.127727
2.099999,5.848631,-1.563,1.670575,2.442968,-3.041194
2.119999,5.816763,-1.593412,1.575063,2.538961,-2.952977
2.139999,5.784304,-1.622941,1.480671,2.633939,-2.863125
2.159999,5.751273,-1.651573,1.387608,2.727692,-2.771689
2.179999,5.717687,-1.67929,1.296079,2.820014,-2.678717
2.199999,5.683565,-1.706077,1.206289,2.910698,-2.584263
2.219999,5.648927,-1.731919,1.118435,2.999545,-2.488378
2.239999,5.613791,-1.756803,1.032711,3.086357,-2.391115
2.259999,5.578176,-1.780714,0.9493086,3.170943,-2.292529
2.279999,5.542103,-1.80364,0.8684118,3.253116,-2.192673
2.299999,5.505592,-1.825566,0.7901993,3.332692,-2.091604
2.319999,5.468662,-1.846482,0.7148448,3.409497,-1.989376
2.339998,5.431335,-1.866376,0.6425153,3.48336,-1.886048
2.359998,5.39363,-1.885237,0.5733696,3.554117,-1.781675
2.379998,5.355569,-1.903053,0.5075622,3.621612,-1.676315
2.399998,5.317173,-1.919816,0.4452383,3.685695,-1.570028
2.419998,5.278462,-1.935517,0.3865363,3.746225,-1.462872
2.439998,5.23946,-1.950145,0.3315856,3.803067,-1.354905
2.459998,5.200186,-1.963695,0.2805082,3.856096,-1.246189
2.479998,5.160663,-1.976156,0.233417,3.905195,-1.136782
2.499998,5.120912,-1.987524,0.1904163,3.950253,-1.026746
2.519998,5.080956,-1.997792,0.1516016,3.991172,-0.9161423
2.539998,5.040817,-2.006953,0.1170584,4.027861,-0.8050304
2.559998,5.000517,-2.015003,0.08686359,4.060239,-0.6934736
2.579998,4.960079,-2.021938,0.06108382,4.088233,-0.5815327
2.599998,4.919524,-2.027753,0.03977618,4.111784,-0.4692698
2.619998,4.878875,-2.032446,0.02298783,4.130837,-0.3567468
2.639998,4.838154,-2.036014,0.01075596,4.145351,-0.2440258
2.659998,4.797385,-2.038454,0.003107763,4.155294,-0.1311701
2.679998,4.75659,-2.039766,6.010607E-05,4.160644,-0.01824191
